PointID,X,Y,SETTLEMENT,CULTIVATION,CONFIDENCE,USERID
1,47.795953,7.948306,0,0,3,1153
1,47.795953,7.948306,0,0,3,1222
2,47.859081,7.975313,0,0,3,1222
2,47.859081,7.975313,0,0,3,1153
3,46.339902,7.962197,0,0,3,1222
3,46.339902,7.962197,0,0,3,640
4,46.498899,7.994329,0,0,3,1153
4,46.498899,7.994329,0,0,3,640
7,46.132364,6.896228,0,0,3,1222
7,46.132364,6.896228,0,0,3,640
8,46.967868,7.628516,0,0,3,640
8,46.967868,7.628516,0,0,3,1222
9,46.560102,7.765503,0,0,3,640
9,46.560102,7.765503,0,0,3,179
10,46.470315,7.897775,0,0,3,640
10,46.470315,7.897775,0,0,3,1222
12,45.194449,7.927231,0,0,3,1153
12,45.194449,7.927231,0,0,3,1222
15,44.519794,6.718515,0,0,3,1153
15,44.519794,6.718515,0,0,3,640
16,44.363792,6.859387,0,0,3,1153
16,44.363792,6.859387,0,0,3,1222
20,45.062467,7.830288,0,0,3,1153
20,45.062467,7.830288,0,0,3,1146
21,44.888326,5.619351,0,0,3,640
21,44.888326,5.619351,0,0,3,1153
22,44.380573,5.801649,0,0,3,1153
22,44.380573,5.801649,0,0,3,640
23,44.738996,5.839949,1,0,3,1153
23,44.738996,5.839949,0,0,3,590
23,44.738996,5.839949,0,0,3,1146
24,44.91764,6.184313,0,0,3,1153
24,44.91764,6.184313,0,0,3,1222
27,43.590071,8.954376,0,0,3,326
27,43.590071,8.954376,0,1,3,273
27,43.590071,8.954376,0,0,2,640
28,43.897928,7.22331,0,0,3,640
28,43.897928,7.22331,0,0,3,1222
29,43.790528,7.600876,0,0,3,1153
31,43.850132,7.663917,0,0,3,1222
31,43.850132,7.663917,0,0,3,640
32,43.738996,7.839949,0,0,3,1222
32,43.738996,7.839949,0,0,3,640
33,43.918163,5.247521,0,0,3,1222
33,43.918163,5.247521,0,0,3,640
34,43.55625,5.526694,0,0,3,640
34,43.55625,5.526694,0,0,3,1153
35,43.208964,5.803436,0,0,3,640
35,43.208964,5.803436,0,0,3,1153
39,42.546931,4.447281,0,0,3,1222
39,42.546931,4.447281,0,0,3,1153
41,42.853817,4.772705,0,0,3,1222
41,42.853817,4.772705,0,0,3,1153
42,42.441886,4.964859,0,0,3,179
42,42.441886,4.964859,0,0,3,1153
43,41.870086,10.941193,0,0,3,640
43,41.870086,10.941193,0,0,3,666
44,42.918163,9.247521,0,0,3,1222
44,42.918163,9.247521,0,0,3,1153
47,42.96804,9.697241,0,0,3,1222
47,42.96804,9.697241,0,0,3,1153
48,42.289358,10.754538,0,0,3,640
48,42.289358,10.754538,0,0,3,1222
50,42.033512,8.381558,0,0,3,1222
50,42.033512,8.381558,0,0,3,1153
52,41.796945,8.480139,0,0,3,1153
52,41.796945,8.480139,0,0,3,640
55,42.509387,8.615646,0,0,3,640
